url,titulo,id,detalles,moneda,precio,area_m2,tiene_telefono,whatsapp_link,imagen_url
https://www.gallito.com.uy/alquiler-casa-1-dormitorio-con-fondo-y-lugar-para-autos-inmuebles-28603018,Alquiler casa 1 dormitorio con fondo y lugar para autos.,28603018,1 Dormitorio en Manga,$U,15.000,34 m2,True,https://wa.me/{0}?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20m%C3%A1s%20informaci%C3%B3n%20acerca%20de%3A%20%201%20Dormitorio%20en%20Manga%2C%20https%3A%2F%2Fwww.gallito.com.uy%2Falquiler-casa-1-dormitorio-con-fondo-y-lugar-para-autos-inmuebles-28603018,https://imagenes.gallito.com/rinmu/sinblanco/338x254/260203111100260.jpg
https://www.gallito.com.uy/casa-en-alquiler-temporeada-de-3-dormitorios-piscina-p-inmuebles-26984399,"Casa en alquiler Temporeada de 3 dormitorios, piscina. P...",26984399,3 Dormitorios en Punta Del Este,U$S,250,75 m2,True,https://wa.me/{0}?text=Hola%20DANIEL.GADEA.NEGOCIOS.INMOBILIARIOS.%2C%20me%20gustar%C3%ADa%20obtener%20m%C3%A1s%20informaci%C3%B3n%20acerca%20de%3A%20%203%20Dormitorios%20en%20Punta%20Del%20Este%2C%20https%3A%2F%2Fwww.gallito.com.uy%2Fcasa-en-alquiler-temporeada-de-3-dormitorios-piscina-p-inmuebles-26984399,https://imagenes.gallito.com/rinmu/sinblanco/338x254/9d02de076b444.jpeg
https://www.gallito.com.uy/casa-salinas-norte-alquiler-o-venta-calle-pavimentada-inmuebles-25786485,"Casa Salinas norte, alquiler o venta, calle pavimentada",25786485,2 Dormitorios en Salinas,$U,10.000,80 m2,True,https://wa.me/{0}?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20m%C3%A1s%20informaci%C3%B3n%20acerca%20de%3A%20%202%20Dormitorios%20en%20Salinas%2C%20https%3A%2F%2Fwww.gallito.com.uy%2Fcasa-salinas-norte-alquiler-o-venta-calle-pavimentada-inmuebles-25786485,https://imagenes.gallito.com/rinmu/sinblanco/338x254/240715114635330.jpg
https://www.gallito.com.uy/alquiler-casa-de-un-dormitorio-en-villa-española-inmuebles-28736246,Alquiler casa de un dormitorio en Villa Española,28736246,1 Dormitorio en Villa Española,$U,13.000,44 m2,True,https://wa.me/{0}?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20m%C3%A1s%20informaci%C3%B3n%20acerca%20de%3A%20%201%20Dormitorio%20en%20Villa%20Espa%C3%B1ola%2C%20https%3A%2F%2Fwww.gallito.com.uy%2Falquiler-casa-de-un-dormitorio-en-villa-espa%C3%B1ola-inmuebles-28736246,https://imagenes.gallito.com/rinmu/sinblanco/338x254/260225234644130.jpg
https://www.gallito.com.uy/cercano-a-giannattasio-1-dormitorio-solymar-norte-alquiler-inmuebles-28157322,CERCANO A GIANNATTASIO 1 dormitorio Solymar norte Alquiler,28157322,1 Dormitorio en Solymar,$U,14.500,30 m2,True,https://wa.me/{0}?text=Hola%20santestevan%2C%20me%20gustar%C3%ADa%20obtener%20m%C3%A1s%20informaci%C3%B3n%20acerca%20de%3A%20%201%20Dormitorio%20en%20Solymar%2C%20https%3A%2F%2Fwww.gallito.com.uy%2Fcercano-a-giannattasio-1-dormitorio-solymar-norte-alquiler-inmuebles-28157322,https://imagenes.gallito.com/rinmu/sinblanco/338x254/66740707.jpg
https://www.gallito.com.uy/casa-alquiler-piedras-blancas-inmuebles-27870496,Casa Alquiler Piedras Blancas,27870496,1 Dormitorio en Piedras Blancas,$U,12.500,30 m2,True,https://wa.me/{0}?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20m%C3%A1s%20informaci%C3%B3n%20acerca%20de%3A%20%201%20Dormitorio%20en%20Piedras%20Blancas%2C%20https%3A%2F%2Fwww.gallito.com.uy%2Fcasa-alquiler-piedras-blancas-inmuebles-27870496,https://imagenes.gallito.com/rinmu/sinblanco/338x254/65565124.jpg
https://www.gallito.com.uy/apartamento-en-alquiler-de-2-dormitorios-en-sur-inmuebles-28222218,Apartamento en alquiler de 2 dormitorios en Sur,28222218,2 Dormitorios en Marindia,$U,15.000,,True,https://wa.me/{0}?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20m%C3%A1s%20informaci%C3%B3n%20acerca%20de%3A%20%202%20Dormitorios%20en%20Marindia%2C%20https%3A%2F%2Fwww.gallito.com.uy%2Fapartamento-en-alquiler-de-2-dormitorios-en-sur-inmuebles-28222218,https://imagenes.gallito.com/rinmu/sinblanco/338x254/67450333.jpg
https://www.gallito.com.uy/se-alquila-monoambiente-en-salinas-norte-inmuebles-27976375,Se alquila monoambiente en Salinas norte,27976375,1 Ambiente en Salinas,$U,12.000,1 m2,True,https://wa.me/{0}?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20m%C3%A1s%20informaci%C3%B3n%20acerca%20de%3A%20%201%20Ambiente%20en%20Salinas%2C%20https%3A%2F%2Fwww.gallito.com.uy%2Fse-alquila-monoambiente-en-salinas-norte-inmuebles-27976375,https://imagenes.gallito.com/rinmu/sinblanco/338x254/65955048.jpg
https://www.gallito.com.uy/alquiler-casa-zona-rinconada-punta-ballena-inmuebles-28086456,"Alquiler casa zona Rinconada, Punta Ballena",28086456,4 Dormitorios en Punta Del Este,$U,1.800,,True,,https://imagenes.gallito.com/rinmu/sinblanco/338x254/66493609.jpg
https://www.gallito.com.uy/casa-en-alquiler-de-1-dormitorio-en-las-toscas-inmuebles-28240578,Casa en Alquiler de 1 dormitorio en Las Toscas,28240578,1 Dormitorio en Las Toscas,$U,14.000,,True,https://wa.me/{0}?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20m%C3%A1s%20informaci%C3%B3n%20acerca%20de%3A%20%201%20Dormitorio%20en%20Las%20Toscas%2C%20https%3A%2F%2Fwww.gallito.com.uy%2Fcasa-en-alquiler-de-1-dormitorio-en-las-toscas-inmuebles-28240578,https://imagenes.gallito.com/rinmu/sinblanco/338x254/67084224.jpg
